activation,q,rho,clean_std,adv_std,clean_advtrained,adv_advtrained
relu,3.0,1.0,0.8084481735196445,0.7655335055267676,0.8135337622126322,0.7942181508992027
softplus,3.0,1.0,0.8165658639885774,0.773587024529543,0.8114642324290504,0.7913946063882694
smoothed,3.0,1.0,0.8132449906149231,0.7728009240691127,0.8141273482745897,0.7952448943577238
smoothed,4.0,0.5,0.8151701345996503,0.7715335376125007,0.8121059470906261,0.7946994368953845
